endend,Todesfälle,untGrenze,obeGrenze
2020-01-05,9.0,2.0,19.0
2020-01-12,14.0,2.0,19.0
2020-01-19,12.0,2.0,19.0
2020-01-26,10.0,2.0,19.0
2020-02-02,14.0,2.0,19.0
2020-02-09,14.0,2.0,19.0
2020-02-16,14.0,2.0,19.0
2020-02-23,11.0,2.0,18.0
2020-03-01,12.0,2.0,18.0
2020-03-08,11.0,2.0,18.0
2020-03-15,9.0,2.0,18.0
2020-03-22,12.0,2.0,18.0
2020-03-29,11.0,2.0,18.0
2020-04-05,15.0,2.0,18.0
2020-04-12,9.0,2.0,18.0
2020-04-19,12.0,2.0,18.0
2020-04-26,11.0,2.0,18.0
2020-05-03,7.0,2.0,18.0
2020-05-10,11.0,2.0,18.0
2020-05-17,3.0,2.0,18.0
2020-05-24,12.0,2.0,18.0
2020-05-31,10.0,2.0,18.0
2020-06-07,16.0,2.0,18.0
2020-06-14,12.0,2.0,18.0
2020-06-21,8.0,2.0,18.0
2020-06-28,14.0,2.0,18.0
2020-07-05,11.0,2.0,18.0
2020-07-12,8.0,2.0,18.0
2020-07-19,6.0,2.0,18.0
2020-07-26,11.0,2.0,18.0
2020-08-02,9.0,2.0,17.0
2020-08-09,7.0,2.0,17.0
2020-08-16,8.0,2.0,17.0
2020-08-23,8.0,2.0,17.0
2020-08-30,7.0,2.0,17.0
2020-09-06,10.0,2.0,17.0
2020-09-13,7.0,2.0,17.0
2020-09-20,3.0,2.0,17.0
2020-09-27,11.0,2.0,17.0
2020-10-04,5.0,2.0,17.0
2020-10-11,9.0,2.0,17.0
2020-10-18,5.0,2.0,17.0
2020-10-25,14.0,2.0,17.0
2020-11-01,8.0,2.0,17.0
2020-11-08,11.0,1.0,17.0
2020-11-15,17.0,1.0,17.0
2020-11-22,15.0,1.0,17.0
2020-11-29,14.0,1.0,17.0
2020-12-06,14.0,1.0,17.0
2020-12-13,15.0,1.0,17.0
2020-12-20,12.0,1.0,17.0
2020-12-27,8.0,1.0,17.0
2021-01-03,9.0,1.0,17.0
2021-01-10,8.0,2.0,19.0
2021-01-17,20.0,2.0,19.0
2021-01-24,9.0,2.0,19.0
2021-01-31,11.0,2.0,19.0
2021-02-07,9.0,2.0,19.0
2021-02-14,10.0,2.0,19.0
2021-02-21,7.0,2.0,19.0
2021-02-28,14.0,2.0,18.0
2021-03-07,11.0,2.0,18.0
2021-03-14,7.0,2.0,18.0
2021-03-21,13.0,2.0,18.0
2021-03-28,7.0,2.0,18.0
2021-04-04,5.0,2.0,18.0
2021-04-11,14.0,2.0,18.0
2021-04-18,7.0,2.0,18.0
2021-04-25,7.0,2.0,18.0
2021-05-02,14.0,2.0,18.0
2021-05-09,7.0,2.0,18.0
2021-05-16,8.0,2.0,18.0
2021-05-23,12.0,2.0,18.0
2021-05-30,9.0,2.0,18.0
2021-06-06,14.0,2.0,18.0
2021-06-13,14.0,2.0,18.0
2021-06-20,9.0,2.0,18.0
2021-06-27,12.0,2.0,18.0
2021-07-04,11.0,2.0,18.0
2021-07-11,10.0,2.0,18.0
2021-07-18,10.0,2.0,18.0
2021-07-25,15.0,2.0,18.0
2021-08-01,13.0,2.0,18.0
2021-08-08,11.0,2.0,17.0
2021-08-15,18.0,2.0,17.0
2021-08-22,10.0,2.0,17.0
2021-08-29,7.0,2.0,17.0
2021-09-05,12.0,2.0,17.0
2021-09-12,9.0,2.0,17.0
2021-09-19,6.0,2.0,17.0
2021-09-26,15.0,2.0,17.0
2021-10-03,14.0,2.0,17.0
2021-10-10,9.0,2.0,17.0
2021-10-17,14.0,2.0,17.0
2021-10-24,18.0,2.0,17.0
2021-10-31,15.0,2.0,17.0
2021-11-07,9.0,2.0,17.0
2021-11-14,10.0,1.0,17.0
2021-11-21,12.0,1.0,17.0
2021-11-28,16.0,1.0,17.0
2021-12-05,15.0,1.0,17.0
2021-12-12,13.0,1.0,17.0
2021-12-19,15.0,1.0,17.0
2021-12-26,9.0,1.0,17.0
2022-01-02,7.0,1.0,17.0
2022-01-09,11.4,4.0,22.0
2022-01-16,20.6,4.0,22.0
2022-01-23,5.5,4.0,22.0
2022-01-30,8.0,4.0,22.0
2022-02-06,10.2,4.0,22.0
