datum,LU,Schweiz
2020-06-15,0.5,0.4
2020-06-22,0.5,0.7
2020-06-29,0.7,1.1
2020-07-06,1.2,1.5
2020-07-13,2.1,2.0
2020-07-20,1.7,2.6
2020-07-27,3.1,3.5
2020-08-03,3.3,3.3
2020-08-10,4.1,4.1
2020-08-17,1.7,3.6
2020-08-24,1.8,3.1
2020-08-31,1.0,3.1
2020-09-07,1.1,3.6
2020-09-14,2.0,3.8
2020-09-21,1.5,3.7
2020-09-28,2.9,5.3
2020-10-05,7.9,10.0
2020-10-12,13.6,15.4
2020-10-19,18.6,22.6
2020-10-26,23.8,26.5
2020-11-02,22.9,26.5
2020-11-09,21.6,24.0
2020-11-16,21.5,20.8
2020-11-23,18.8,17.6
2020-11-30,18.7,17.8
2020-12-07,21.3,15.3
2020-12-14,17.7,12.9
2020-12-21,17.6,12.6
2020-12-28,21.6,16.8
2021-01-04,19.6,14.5
2021-01-11,16.9,11.7
