datum_neu,Antigen-Schnelltest,PCR (herkömmlich)
01.02.2021,193.0,307.0
01.03.2021,218.0,465.0
02.08.2021,321.0,315.0
02.11.2020,21.0,516.0
03.05.2021,216.0,434.0
04.01.2021,86.0,338.0
04.10.2021,842.0,556.0
05.04.2021,241.0,344.0
05.07.2021,574.0,286.0
06.09.2021,647.0,609.0
07.06.2021,272.0,419.0
07.12.2020,80.0,331.0
08.02.2021,223.0,310.0
08.03.2021,279.0,471.0
09.08.2021,195.0,355.0
09.11.2020,53.0,441.0
10.05.2021,235.0,561.0
11.01.2021,104.0,346.0
11.10.2021,402.0,599.0
12.04.2021,284.0,537.0
12.07.2021,292.0,277.0
13.09.2021,795.0,717.0
14.06.2021,256.0,311.0
14.12.2020,115.0,366.0
15.02.2021,202.0,287.0
15.03.2021,357.0,331.0
16.08.2021,410.0,383.0
16.11.2020,68.0,451.0
17.05.2021,316.0,673.0
18.01.2021,142.0,360.0
18.10.2021,418.0,662.0
19.04.2021,254.0,511.0
19.07.2021,302.0,269.0
20.09.2021,541.0,846.0
21.06.2021,235.0,252.0
21.12.2020,116.0,292.0
22.02.2021,252.0,379.0
22.03.2021,384.0,363.0
23.08.2021,397.0,499.0
23.11.2020,118.0,383.0
24.05.2021,235.0,608.0
25.01.2021,187.0,255.0
26.04.2021,194.0,431.0
26.07.2021,502.0,270.0
27.09.2021,807.0,751.0
28.06.2021,242.0,235.0
28.12.2020,173.0,247.0
29.03.2021,408.0,474.0
30.08.2021,570.0,500.0
30.11.2020,82.0,417.0
31.05.2021,320.0,477.0
